name,line1,city,zip,country,regon,pesel,nip,nip_czysty,invoice_currency,freight_currency,payment_term,phone1,phone2,fax,"email",www,invoice_language
"WERTH-HOLZ Spółka Akcyjna","Szarych Szeregów 27",Poznań,60-462,PL,,,957-098-54-92,9570985492,PLN,EUR,45,,,,,,PL
"SEATRADER LOGISTICS Speditionsges. mbH","Arster Hemm 53",Bremen,28279,DE,,,114431264,114431264,EUR,EUR,45,,,,,,PL
"GUTERKRAFTVERKEHR Brigitte Enkirch","Bruhlstrasse 4",Niederbachheim,56357,DE,,,148784220,148784220,EUR,EUR,45,,,,,,PL
"WIM BOSMAN EXPEDITIE B.V.","Industriestraat 10","GD 'S-Heerenberg",7041,NL,,,004201991B01,420199101,EUR,EUR,45,,,,,,PL
"LOGISTIC LOUNGE GMBH","Hans-Seyfer-Strasse 41-45",Heilbronn,74076,DE,,,815031597,815031597,EUR,EUR,45,,,,info@logistic-lounge.de,,PL
"W&W SPEDITION GMBH","Korschtalstrasse 100",Denkendorf,73770,DE,,,200870832,200870832,EUR,EUR,45,,,,,,PL
"GEBRUDER HELLMANN TRANSPORT nd Baustoffhandels GmbH","Halsterner Str. 59","Bad Oeynhausen",32549,DE,,,126019619,126019619,EUR,EUR,45,,,,,,PL
"KARL JUERGENSEN utofernverkehr und Spedition KG","Bredowstr. 14",Hamburg,22113,DE,,,135406450,135406450,EUR,EUR,45,,,,,,PL
"CONLINE GMBH","Dessauer Strasse 3",Hamburg,20457,DE,,,238093579,238093579,EUR,EUR,45,,,,ertel@conline-logistik.de,,PL
"LOGWIN  Solutions Deutschland GmbH","Ipsheimer Strasse 19",Nurnberg,90431,DE,,,811113220,811113220,EUR,EUR,45,,,,,,PL
"KEC CARGO GMBH","Orbker Str. 39",Detmold,32758,DE,,,814949845,814949845,EUR,EUR,45,,,,j.kohring@kec-cargo.de,,PL
"NETWORK LOGISTICS GMBH","Olhafenstrasse 30-32",Mannheim,68169,DE,,,813999718,813999718,EUR,EUR,45,,,,,,PL
"JOH. KLUSMEYER U.SOHN uterkraftverkehr Spedition I Lagerung GmbH & Co.KG","Harpstedter Strasse 99","Stuhr/ Gross Mackenstedt",28816,DE,,,116630567,116630567,EUR,EUR,45,,,,m.mahlstedt@klusmeyer.de,,PL
"DETTENDORFER SPEDITION GmbH","Vierlander Str. 1",Geesthacht,21502,DE,,,118648887,118648887,EUR,EUR,45,,,,,,PL
"AS SPEDITIONS-GMBH",Daimlerstr.14,Steinen,79585,DE,,,198133059,198133059,EUR,EUR,45,,,,,,PL
"GRUNBAUER TRANSPORT GMBH","Am Schonbuhl 10",Welherhammer,92729,DE,,,207325057,207325057,EUR,EUR,45,,,,"mschneider@gruenbauer-transporte.de, info@gruenbauer-transporte.de",,PL
"LEX-US INT. SPED.GBR.","Ringstr. 15",Grossbeeren,14979,DE,,,262148954,262148954,EUR,EUR,45,,,,,,PL
"KARL Jurgensen  utofernverkehr und Spedition KG","Heinrich-Hertz-Str. 16",Schleswig,24837,DE,,,135406450,135406450,EUR,EUR,45,,,,,,PL
"BRETZKE LAGERHAUS GMBH","Ludwig-Erhard-Str. 30+32",Bremen,28197,DE,,,114404801,114404801,EUR,EUR,45,,,,,,PL
"SPEDITION ROBERT WOLF GMBH","Burgstockstrasse 66","Bad Waldsee-Mittelurbach",88339,DE,,,146350062,146350062,EUR,EUR,45,,,,,,PL
"DACHSER  GmbH & Co.KG Niederlassung Muenchen","Zamilastr. 11",Muenchen,81677,DE,,,128779390,128779390,EUR,EUR,45,,,,,,PL
"M&M INTERNATIONALE SPEDITION GmbH","Fuhrmannstrasse 10",Hof/Saale,95030,DE,,,811949192,811949192,EUR,EUR,45,,,,,,PL
"DHL FREIGHT GMBH","Franz-Lehner-Str. 11",Unterschleissheim,85716,DE,,,811152493,811152493,EUR,EUR,45,,,,,,PL
"TPS POLLONO","2 rue Pierre et Maric Curie, BP 1318","Pornic Cedex",44213,FR,,,49381699636,49381699636,EUR,EUR,45,,,,,,PL
"VOSSMANN LOGISTIK GMBH","Am Gewerbering 1",Prinzhofte,27243,DE,,,227597604,227597604,EUR,EUR,45,,,,,,PL
"SPEDITION WIEDMANN GMBH & Co.KG","Liechtersmatten 4",Buhl-Vimbuch,77815,DE,,,146751337,146751337,EUR,EUR,45,,,,florence.reimann@spedition-wiedmann.de,,PL
"TH. REIMLER & CO.NFL. GMBH","Im Hegen 7",Oststeinbek,22113,DE,,,118542003,118542003,EUR,EUR,45,,,,finanzen@spedition-reimler.de,,PL
"TSC TRANSPORT-SERVICE  Logistik GmbH & Co.KG","Weihersfeld 27a",Bruggen,41379,DE,,,812603492,812603492,EUR,EUR,45,,,,classen@tsc-logistik.de,,PL
"KRUMBACHER SPEDITIONS GMBH","Michael-Faist-Str. 19",Krumbach,86381,DE,,,130845344,130845344,EUR,EUR,45,,,,,,PL
"C.E. NOERPEL GMBH  pedition + Logistik","Miesenbacher Str. 50",Durach,87471,DE,,,147042215,147042215,EUR,EUR,30,"(0049) 08316979210",,"(0049) 08316979219",Marco.Poltermann@noerpel.de,www.noerpel.de,PL
"LACHMANN GMBH","Postfach 1430","Lohr am Main",97804,DE,,,199395803,199395803,EUR,EUR,45,,,,,,PL
"FINSTERWALDER Transport und Logistik GmbH","Delitzscher Str.72",Halle/Saale,6112,DE,,,139715477,139715477,EUR,EUR,45,,,,,,PL
"WOEHL & CIE-TPT INTERNATIONAUX","ZI de L'Europe",Cernay,68700,FR,,,37558501144,37558501144,EUR,EUR,45,,,,,,PL
"ZIEGLER MULHOUSE","1, quai de Rotterdam, Z.I Ile Napoleon",Illzach,68110,FR,,,59354500225,59354500225,EUR,EUR,45,,,,dominique_schieb@zieglergroup.com,,PL
"TRANSPORTS HOUARI I Ingre","24 rue Emile Leconte",Ingre,45140,FR,,,60500385380,60500385380,EUR,EUR,45,,,,,,PL
SITS,"1 Cour des Chevreaux- B.P. 33","Lingolsheim - Tanneries",67831,FR,,,11379204654,11379204654,EUR,EUR,45,,,,,,PL
"DOSCHES TRANSPORTS","Impasse du Marraud","Barberey St Sulpice",10600,FR,,,90432771152,90432771152,EUR,EUR,45,,,,,,PL
"DA CANAL RUDY & C. SNC","Via Cavalieri di Vittorio Veneto 17/a",Sedico,32036,IT,,,748040250,748040250,EUR,EUR,45,,,,,,PL
"STL LOGISTIK AG","Kalteiche Ring 59",Haiger,35708,DE,,,261434038,261434038,EUR,EUR,45,,,,A.Braeuer@stl-ag.com,,PL
"DACHSER GmbH & Co.KG ogistikzentrum Ulm","Thomas-Dachser-Str. 1",Langenau,89129,DE,,,128779390,128779390,EUR,EUR,45,,,,,,PL
"EMONS Spedition GmbH","Am Nordhafen 18",Duisburg,47119,DE,,,123053215,123053215,EUR,EUR,45,,,,vera.kerkes@emons.de,,PL
"T.C.E. LOGISTIC GMBH","Stenzelring 17",Hamburg,21107,DE,,,812480357,812480357,EUR,EUR,45,,,,"dokumente@tce-hamburg.de, sabine.arenz@tce-hamburg.de",,PL
"SPEDITION LEUPOLD GMBH","Am Saaleschlosschen 7",Oberkotzau,95145,DE,,,233468013,233468013,EUR,EUR,45,,,,ulrike.rank@spedition-leupold.de,,PL
"MORY TEAM (LIMOGES) I Nord","40, rue Barthelemy-Thimonnier BP 1521 Cede",Limoges,87280,FR,,,88443806906,88443806906,EUR,EUR,45,,,,,,PL
"GR VALADE ue de Strasbourg","Z I de Bordeaux fret",Bruges,33521,FR,,,42622055093,42622055093,EUR,EUR,45,,,,,,PL
"ABELTSHAUSER Internationale Transport nd Speditions- GmbH","Munster 45",Rottenburg,84056,DE,,,813033640,813033640,EUR,EUR,45,,,,,,PL
"ALLIED FORWARDING GROUP GMBH","Industriestr. 10",Fuerstenfeldbruck,82256,DE,,,813843453,813843453,EUR,EUR,45,,,,,,PL
"DHL Freight GmbH - Niederlassung Malsfeld","Pliwastr. 3",Malsfeld,34323,DE,,,811152493,811152493,EUR,EUR,45,,,,Jennifer.homburg@dhl.com,,PL
"KALMAN KLEINBERG TRANSPORTE","Sulmerstr. 45",Heilbronn,74072,DE,,,145700598,145700598,EUR,EUR,45,,,,,,PL
"DANWERTH SPEDITION KG","Ostmilter Str. 37",Warendorf-Milte,48231,DE,,,126732588,126732588,EUR,EUR,45,,,,averesch@danwerth.de,,PL
"DACHSER GmbH & Co.KG","Thomas-Dachser-Str. 7-9","Bad Salzuflen",32107,DE,,,128779390,128779390,EUR,EUR,45,,,,martha.smeja@dachser.com,,PL
"KLUMPP + MUELLER GMBH & CO.KG","Weststr. 24",Kehl,77694,DE,,,142218722,142218722,EUR,EUR,45,"(0049) 7851870082",,"(0049) 785187001811",rechnungseingang@klumpp.com,www.klumpp.com,PL
"SCHENKER Deutschland AG","August-Broemel-Straße 2",Arnstadt,99310,DE,,,811228366,811228366,EUR,EUR,30,,,,,,PL
"FRANKENFELD SPEDITION GMBH","Stahlstrasse 50",Verl,33415,DE,,,126774823,126774823,EUR,EUR,30,,,,,,PL
"MANFRED ZIEGLER TRANSPORT GMBH","Marktplatz 2",Neumarkt,4720,AT,,,U62169147,62169147,EUR,EUR,45,,,,,,PL
"LUDGER NIEWOEHNER TRANSPORTE","Twentestrasse 24",Ahaus-Ottenstein,48683,DE,,,123815905,123815905,EUR,EUR,45,,,,,,PL
"SCHUIERER + LEHRHUBER pedition GmbH","Mauthstr. 9",Ingolstadt,85049,DE,,,194572761,194572761,EUR,EUR,45,,,,s.lehrhuber@schuierer-lehrhuber.de,,PL
"MAINTALER EXPRESS LOGISTIK GmbH & Co.KG","Keltenstrasse 7",Bruchkobel,63486,DE,,,242917114,242917114,EUR,EUR,45,,,,,,PL
"ELKAWE TRANSPORTE AG","Schweizersbildstrasse 32",Schaffhausen,8207,CH,,,263683,263683,EUR,EUR,45,,,,thomas.sixta@elkawe.ch,,PL
"POELS-JANSSEN LOGISTICS B.V.","Herenbosweg 45","NW Horst",5962,NL,,,813418513B01,81341851301,EUR,EUR,60,,,,Invoices@poels-janssen.nl,,PL
"JESCHKE SPEDITION GMBH","Am Genter Ufer 6",Hamburg,21129,DE,,,811186335,811186335,EUR,EUR,45,,,,,,PL
"SITRA SPEDITION GMBH","Stenzelring 24",Hamburg,21107,DE,,,158712657,158712657,EUR,EUR,30,,,,,,PL
"TRANSLAND SPEDITION GMBH","Kalteiche-Ring 47",Haiger,35708,DE,,,812100283,812100283,EUR,EUR,45,,,,invoice@transland.de,,PL
"FEHRENKOTTER TRANSPORT & LOGISTIK GmbH","Heinrich-Bussing-Str. 6",Landberger,49549,DE,,,126733482,126733482,EUR,EUR,45,,,,,,PL
"RUEDINGER SPEDITION GMBH","Uferweg 12",Krautheim,74238,DE,,,811252662,811252662,EUR,EUR,45,,,,,,PL
"DACHSER GmbH & Co.KG","Thomas-Dachser-Str. 1",Hof,95030,DE,,,128779390,128779390,EUR,EUR,45,,,,,,PL
"HELLMANN WORLDWIDE LOGISTICS GmbH & Co.KG","Beim alten Hof 10",Neunkirchen,66538,DE,,,117659402,117659402,EUR,EUR,45,,,,,,PL
"L.WACKLER WWE. NACHF. GMBH","Huehndorfer Hoehe 2",Wilsdruff,1723,DE,,,226346988,226346988,EUR,EUR,45,,,,"ibolya.hilz@wackler.de , 005546_wackler_dd@rechnungen-signieren.de",,PL
"TRANSA SPEDITION GmbH Ast Leipzig","Brikleite 4",Ebersdorf,96237,DE,,,113590904,113590904,EUR,EUR,45,,,,,,PL
"NEUFRA Speditions GmbH","Kistlerhofstr. 168",Munchen,81379,DE,,,120682142,120682142,EUR,EUR,45,,,,muenchen@neufraspedition.de,,PL
"EMONS SPEDITION GmbH","Hans-Bunte-Str. 11",Freiburg,79108,DE,,,123053215,123053215,EUR,EUR,45,,,,"paula.coelho@emons.de, roland.schmidt@emons.de",,PL
"HELA SPEDITIONS-LOGISTIK","Hans-Bockler-Str. 17/19",Herzebrock,33442,DE,,,196138664,196138664,EUR,EUR,45,,,,,,PL
"DHL GLOBAL FORWARDING (Austria) GmbH","Feldkirchenstr. 20",Kalsdorf,8401,AT,,,U15376402,15376402,EUR,EUR,45,,,,,,PL
"AUCH GMBH SPEDITION & LAGEREI","Labruner Str. 31",Annaburg,6925,DE,,,170668833,170668833,EUR,EUR,45,,,,,,PL
"DS SPEDITION GMBH","Kaiserin-Augusta-Allee 16",Berlin,10553,DE,,,129333095,129333095,EUR,EUR,45,,,,,,PL
"HS HANDELS & Speditionsorganisation GmbH","Von-Humboldt-Strasse 4",Heppenheim,64646,DE,,,815044705,815044705,EUR,EUR,60,,,,,,PL
"ROGISTER LOGISTIK S.A.","Rue Mitoyenne 905, BP 9",Welkenraedt,4840,BE,,,413043519,413043519,EUR,EUR,45,,,,M.Graff@rogister.be,,PL
"WK HANDEL & LOGISTIK AG","74a, Route de Luxembourg",Wasserbilling,6633,LU,,,18494188,18494188,EUR,EUR,45,,,,,,PL
"TDI TRANSPORT arl cooperative de transport","6, rue de la vapeur",Bischheim,67800,FR,,,15414631739,15414631739,EUR,EUR,45,,,,,,PL
"HAFF SPEDITION GMBH & Co.KG","Postfach 1150",Romerberg,67352,DE,,,149753655,149753655,EUR,EUR,45,,,,,,PL
"PHU DOROTA ADAMEK","Wapienna 4",Zary,68-200,PL,,,9280012479,9280012479,EUR,EUR,45,,,,,,PL
"NEUKIRCHEN LOGISTIK GMBH","Raiffeisen Str. 9-10",Langenfeld,40764,DE,,,811371805,811371805,EUR,EUR,45,,,,dsluga@neukirchen-logistik.de,,PL
"JACOB SCHMIDT KG pedition","An der Blegenwiese 6",Biedenkopf-Eckelhausen,35216,DE,,,111479658,111479658,EUR,EUR,45,,,,,,PL
"SCHENKER Deutschland AG","Eversween 27",Hamburg,21107,DE,,,811228366,811228366,EUR,EUR,45,,,,heike.bruhne@dbschenker.com,,PL
"FASS BAUMASCHINEN GMBH & Co.KG","Beethovenstrasse 16",Ebersbach,73061,DE,,,261631286,261631286,EUR,EUR,45,,,,,,PL
"SPEDITION KUNZE GMBH & Co.KG VZ DRESDEN-FRIEDRICHSTADT","Potthoffstrasse 9",Dresden,1159,DE,,,124002235,124002235,EUR,EUR,45,,,,,,PL
"BGP TRANS","7 Rue Andre Marie Ampere","Metz Technopole",57070,FR,,,67508544020,67508544020,EUR,EUR,45,,,,,,PL
"FERDINAND HEINRICH LOGISTIK GMBH","Peutestr. 86",Hamburg,20539,DE,,,814949062,814949062,EUR,EUR,45,,,,,,PL
"BERTHE TRANSPORTS ET COMPAGNIE","82 Rue de Paris",Bievres,91570,FR,,,18300578267,18300578267,EUR,EUR,45,,,,,,PL
"TRANSPORTS BERT DU FOREZ-BDF ue Jean Berthon","ZI De La Vaure",Soebiers,42290,FR,,,39477900773,39477900773,EUR,EUR,45,,,,,,PL
"ITC LOGISTIC FRANCE","8 rue Ampere",Gonesse,95500,FR,,,73485316111,73485316111,EUR,EUR,45,,,,,,PL
"ALLOIN TRANSPORTS Affretement Tours 0 Zone Artisanale Et Commerciale N4 DU","150 Avenue Du Cassantin","Chanceaux Sur Choisille",37390,FR,,,59493191407,59493191407,EUR,EUR,45,,,,,,PL
"OLANO ORGANISATION TRANSPORT","ZI du Jalday","Saint Jean De Luz",64500,FR,,,59399595719,59399595719,EUR,EUR,45,,,,,,PL
TRADIFRET,"13/27 Avenue Jean Moulin",Stains,93245,FR,,,90315784108,90315784108,EUR,EUR,45,,,,,,PL
"BURCHARDT TRANSPORTE KGMBH","Travemunder Weg 18",Dassow,23942,DE,,,813607854,813607854,EUR,EUR,45,,,,,,PL
"SCHENKER SA ervice route international","Bid de l'ile aux oisenaux",Grand-Couronne,76530,FR,,,30550502942,30550502942,EUR,EUR,45,,,,,,PL
"LA ROUTE","BP 20037","Blanquefort Cedex",33292,FR,,,20775582935,20775582935,EUR,EUR,45,,,,,,PL
"FRANZ POL Zaklad Uslugowo Handlowy Spolka z o.o.","Kosciuszki 22",Sulechów,66-100,PL,,,9270005495,9270005495,PLN,EUR,45,,,,,,PL
"FRANZ LEBERT & CO. nternationale Spedition GmbH & Co.KG","Daimlerstr. 32",Erbach,89155,DE,,,128781649,128781649,EUR,EUR,45,,,,markus.fischer@lebert.com,,PL
"SOFEX GMBH uropean Logistic Systems","Am Kirchberg 22",Train,93358,DE,,,813380370,813380370,EUR,EUR,45,,,,,,PL
"FA. SCHILLER TRANS","Kapellenweg 3",Eppenschlag,94536,DE,,,131242267,131242267,EUR,EUR,45,,,,,,PL
"PETER BOHR TRANSPORTE e.K.","An der Pluschweberei 50",Grefrath,47929,DE,,,812956015,812956015,EUR,EUR,45,,,,arbara.bohr@peter-bohr-transporte.de,,PL
"ZUMBRINK AGRARHANDEL GBR","Torfkuhle 5",Sassenberg,48336,DE,,,221853299,221853299,EUR,EUR,45,,,,,,PL
"AGILITY LOGISTICS GMBH","Muehlauer Strasse 5",Hartmannsdorf,9232,DE,,,118566635,118566635,EUR,EUR,45,,,,,,PL
"NTK eutrales Transport Kontor GmbH","Grauwallring 14",Bremerhaven,27580,DE,,,114704291,114704291,EUR,EUR,45,,,,,,PL
"FERCAM TRANSPORTE Deutschland GmbH & Co  peditions KG","Renault-Nissan-Strasse 14",Bruehl,50321,DE,,,123045750,123045750,EUR,EUR,60,,,,,,PL
"KUHNE + NAGEL (AG & CO) KG weigniederlassung Lichtenfels","An der Zeil 15",Lichtenfels,96215,DE,,,812773878,812773878,EUR,EUR,45,,,,Tanja.Pfaff@kuehne-nagel.com,,PL
"FERNFRACHT GIMMELSBERGER nt. Speditions- und Transport GmbH","Eugen-Mueller-Strasse 5",Salzburg,5020,AT,,,U58499627,58499627,EUR,EUR,45,,,,rechnung@fernfracht.at,,PL
"JVB TRANSPORTS","16 rue de laBrot-BP 36523","Dijon Cedex",21065,FR,,,26381272020,26381272020,EUR,EUR,45,,,,,,PL
"FIRMA HANDLOWA Marusz Nowakowski","3 Maja 78E",Poraj,42-360,PL,,,5771271886,5771271886,PLN,EUR,45,,,,,,PL
"KSG SPEDITIONSGES.mbH Kehl","Hafenstrasse 3","Kehl am Rhein",77694,DE,,,256155081,256155081,EUR,EUR,45,,,,,,PL
"INWAY Internationale Speditions Gmbh","Industriegebiet Weiherdamm",Netphen-Deuz,57250,DE,,,126565030,126565030,EUR,EUR,60,,,,n.bender@inway-spedition.de,,PL
"ALISIC TRANSPORTE GMBH & CO.KG","Franz-Kafka-Strasse 1a",Karlsruhe,76149,DE,,,263205294,263205294,EUR,EUR,45,,,,,,PL
"TRANSPORTS ARCHEREAU","9 rue de la Haie Arret",Prix-Les-Mezieres,8000,FR,,,52303709406,52303709406,EUR,EUR,45,,,,,,PL
"TRANSPORTS GROUSSARD","Parc d'Activites de Plaisance-A 84","St. Sauveur Des Landes",35133,FR,,,58332823764,58332823764,EUR,EUR,45,,,,,,PL
"MEPP EUROPEAN FREIGHT SOLUTIONS Sp. z o.o.","Mińska 63A",Warszawa,03-828,PL,,,1132761110,1132761110,PLN,EUR,45,,,,,,PL
"10-TRANSALLIANCE GBE","2 rue Youri Gagarine","Le Haillan",33185,FR,,,57414817023,57414817023,EUR,EUR,45,,,,,,PL
"NOXA-TRANS S.A.R.L.","62 Duarrefstroos",Weiswampach,9990,LU,,,20116626,20116626,EUR,EUR,45,,,,,,PL
"KUHN MASCH. VERTRIEB GMBH","Industriestr. 14",Schopsdorf,39291,DE,,,812773878,812773878,EUR,EUR,45,,,,,,PL
"MYNARSKI AUTOMOTIVE POLAND SP. Z O.O.","Szybowcowa 20",Bielsko-Biala,43-382,PL,,,5472144660,5472144660,EUR,EUR,45,,,,,,PL
"MORY TEAM (ROUEN) ue Michel Ploumarch","Centre Rouen Marchandises",Saint-Etienne-Du-Rouvr.,76800,FR,,,88443806906,88443806906,EUR,EUR,45,,,,,,PL
"EURO MULTICOURSES as Multicourses 63","Parc logistique Clermont Auvergne Boulevard de l'Europe",Grezat,63360,FR,,,44343924213,44343924213,EUR,EUR,45,,,,,,PL
"SCHENKER-JOYAU S.A.S.","19 Rue Brigade Rac Z.I De Rabion",Angouleme,16000,FR,,,26311799456,26311799456,EUR,EUR,45,,,,,,PL
"SPEDITION HUSING GMBH","Alter Schulweg 1","Emstek - Garthe",49685,DE,,,117111691,117111691,EUR,EUR,45,,,,ts@huesing.de,,PL
"T.K. TRANS pedition Transportvermittlung","Stadtheider Str. 58",Bielefeld,33609,DE,,,212025296,212025296,EUR,EUR,45,,,,denis@tktrans.de,,PL
"DHL GLOBAL FORWARDING (FRANCE) SAS","Parc Logistique du Pont de Normandie, Rogerville BP203","Le Havre Cedex",76053,FR,,,10344307384,10344307384,EUR,EUR,45,,,,,,PL
"GERICKE GMBH Internationale Spedition","Ohmstrasse 1",Neumark,8496,DE,,,210688201,210688201,EUR,EUR,45,,,,,,PL
"LAVANTTALER GUTERTRANS-lavanttaler Reiseburo GmbH","Lagerstrasse 1",Wolfsberg,9400,AT,,,U27035703,27035703,EUR,EUR,45,,,,,,PL
"MAIER INTERSPED GMBH","Ophauser Str. 20",Hagen,58089,DE,,,280100156,280100156,EUR,EUR,45,,,,,,PL
"KUHNE + NAGEL (AG & CO. KG)  Zweigniederlassung Haiger Gruppenleitung Zentrale Dispoaition","Hansastrasse 10",Haiger,35708,DE,,,812773878,812773878,EUR,EUR,45,,,,isabella.pariti@kuehne-nagel.com,,PL
"ERA LOGISTIK GESELLSCHAFT MBH","Spechtweg 6",Horsching,4063,AT,,,U61149803,61149803,EUR,EUR,45,,,,,,PL
"MORY TEAM","Z.I. N 2  BP 38 Rue Du Xay",Golbey,88190,FR,,,88443806906,88443806906,EUR,EUR,45,,,,,,PL
"WINDE GTFRANCE  nternationaal Transport en Expeditie","Geyssendorfferweg 27",Rotterdam,3008,NL,,,811475943B03,81147594303,EUR,EUR,45,,,,,,PL
"SCHENKER ITALIANA SPA","Via F. Ili Bandiera,31","Peschiera Borromeo MI",20068,IT,,,916900152,916900152,EUR,EUR,45,,,,,,PL
"ALT KURIER TRANSPORT & LAGEREI GmbH","Kurt-Fischer-Str. 60",Ahrensburg,22926,DE,,,172798907,172798907,EUR,EUR,45,,,,,,PL
"BOHMER- TRANSPORTE","Neuwerk 7","Muldestausee/OT Pouch",6774,DE,,,253814356,253814356,EUR,EUR,45,,,,boehmer-transporte@t-online.de,,PL
"RHOLEX BV nternationale Expeditie","Postbus 1145","AC Rozenburg",3180,NL,,,800205200B01,80020520001,EUR,EUR,45,,,,,,PL
"VERHOEVEN INT. TRANSPORT BV ndustrienummer 6016","Jagersveld 4","BW Uden",5405,NL,,,009563271B01,956327101,EUR,EUR,45,,,,,,PL
"NEUFRA SPEDITIONS GMBH","Moselstrasse 8",Neuss,41464,DE,,,120682142,120682142,EUR,EUR,45,,,,"neuss@neufraspedition.de, zbh4@neufraspedition.de",,PL
"GROUP7 AG","Eschenallee 8",Schwaig,85445,DE,,,246657533,246657533,EUR,EUR,45,,,,"R.Sediqy@group-7.de,",,PL
"ETL EUROPEAN TRANSPORT & LOGISTIC GmbH","Postfach 1252",Burbach,57299,DE,,,262321463,262321463,EUR,EUR,45,,,,"Christian.Wehn@etl-spedition.de, Denis.Hirschfeld@etl-spedition.de",,PL
"H.I.B. GMBH","Donatusstrasse 127-129",Pulheim,50259,DE,,,273232045,273232045,EUR,EUR,45,,,,,,PL
"ANDREAS BRANDHOFER nternationale Spedition und Lagerung","Hindenburgstr. 25",Ingolstadt,85057,DE,,,128535951,128535951,EUR,EUR,45,,,,,,PL
"ALLOIN TRANSPORTS","Rue Michael Faraday, Zac Moulin Lablanc","Charleville Mezieres",800,FR,,,59493191407,59493191407,EUR,EUR,45,,,,,,PL
"EXPRESS-DRIVE GmbH Kostenstelle 2000","Immensteinstr. 4",Buehl,77815,DE,,,814133943,814133943,EUR,EUR,60,,,,logistic@expressdrive.de,,PL
"WENDERBECQ ort de Santes","6Eme Rue",Santes,59211,FR,,,11439819566,11439819566,EUR,EUR,45,,,,,,PL
"BEAUVAIS INTERNATIONAL BTE","Rue de la Gare/ ZI de Warluis",Warluis,60430,FR,,,57349033951,57349033951,EUR,EUR,45,,,,,,PL
SOTRIMPEX,"Rue du Millenium, ZAC de la Croix Rouge",Socx,59380,FR,,,8419080577,8419080577,EUR,EUR,45,,,,,,PL
"KS-LOGISTIC & SERVICES GMBH & Co.KG","Grobitzer Weg 36",Finsterwalde,3238,DE,,,141416807,141416807,EUR,EUR,45,,,,,,PL
"FENTHOL & SANDTMANN GmbH Internationale Spedition","Magazinstrasse 17",Dresden,1099,DE,,,811194708,811194708,EUR,EUR,45,,,,,,PL
"UNIVERSAL TRANSPORT SCHMITZ GMBH & Co.KG","In Der Au 12",Staufenberg,35460,DE,,,112652383,112652383,EUR,EUR,45,,,,Anne.Froetschl@universal-transport.com,,PL
"GARTNER KG","Linzer Strasse 40",Lambach,4650,AT,,,U24879503,24879503,EUR,EUR,45,,,,,,PL
"M & M Internationale Spedition GmbH","Am Werk 2",Dresden,1259,DE,,,811949192,811949192,EUR,EUR,45,,,,,,PL
"AGILITY LOGISTICS GMBH","Eichetstrasse 9-11",Salzburg,5020,AT,,,U63877399,63877399,EUR,EUR,45,,,,,,PL
"CLARIDON LUXEMBOURG SARL uxalr Cargo-Center","Office U453",Luxembourg,1360,LU,,,19685273,19685273,EUR,EUR,45,,,,abdeslam.ichaoui@claridon.com,,PL
"HEINRICH KOCH INTERNATIONALE  pedition GmbH & Co.KG","Professor-Porsche-Str. 1",Osnabruck,49076,DE,,,117659584,117659584,EUR,EUR,45,,,,,,PL
"HERTLE- TRANSPORTE","Spielberg 25",Gnotzheim,91728,DE,,,132781346,132781346,EUR,EUR,45,,,,,,PL
"REIMPEX-MEESENBURG SP. Z O.O.","Budowlanych 11",Zary,68-200,PL,,,9280009690,9280009690,PLN,EUR,30,,,,,,PL
"LAURENTIN SA","ZI Les Cartes",Ayron,86190,FR,,,70353210743,70353210743,EUR,EUR,45,,,,,,PL
"TRANSPORTS R. ALLEMAND ac de l'lle Gabourg","817 Chemin des Mariniers",Voreppe,88340,FR,,,1057505638,1057505638,EUR,EUR,45,,,,,,PL
"RLM 2","Rue Isaac Newtown",Chambly,60230,FR,,,45493394100,45493394100,EUR,EUR,45,,,,,,PL
"TRANSPORTS BIERE one Industrielle","Avenue des Ferrancins",Torcy,71210,FR,,,31332866532,31332866532,EUR,EUR,45,,,,,,PL
"GOEBEL SPEDITION GMBH","An der Bellmerei 11",Luedenscheid,58513,DE,,,812062439,812062439,EUR,EUR,45,,,,hoeveler@hgs-luedenscheid.de,,PL
"DHL FREIGHT BELGIUM","WEG NAAR MEEUWEN 52",OPGLABBEEK,3660,BE,,,401264551,401264551,PLN,EUR,45,,,,,,PL
"DEX LOGISTICS E.K.","TEICHSTR 12",DUISBURG,47179,DE,,,,,PLN,EUR,45,,,,,,PL
"BRUCHERSEIFER  ransport + Logistik GmbH","Walzwerkstrasse 24",Wissen,57537,DE,,,148002205,148002205,EUR,EUR,45,,,,,,PL
"GEO-NORD Spedition GmbH  Frachtenvermittlung",Bahnhofstr.6,Westerstede,26655,DE,,,186390057,186390057,EUR,EUR,45,,,,,,PL
"KUCHNIA U MACIEJA Maciej Nowak","Zyty 26",ZielonaGóra,65-046,PL,,,929-156-67-67,9291566767,PLN,EUR,45,,,,,,PL
"GEFCO BENELUX SA","14 avenue de l'Industrie","Braine L'Alleud",1420,BE,,,407735837,407735837,EUR,EUR,45,,,,,,PL
"TRANSCO EPINAL","7 Chemin de la Belle au Bois Dormant",Epinal,88000,FR,,,88348943234,88348943234,EUR,EUR,45,,,,,,PL
"SOBOROUTE TRANSPORTS Lots-Affretements","25,27 rue Paul Sabatier, Z.I. de Crissey","Chalon Sur Saone",71100,FR,,,38725820583,38725820583,EUR,EUR,45,,,,,,PL
